n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,8,10000.0,rpkm,1.0,0.2589430736315515,4360.303409118731,1.5110189195213362
3,8,10000.0,rpkm,2.0,0.26824497674604336,4508.294482553844,1.4032722368869917
3,8,10000.0,rpkm,3.0,0.26828361734951456,4509.141520537879,1.403274652080349
3,8,10000.0,rpkm,4.0,0.26828795020099105,4509.1481998613435,1.4032932165342533
3,8,10000.0,rpkm,5.0,0.26828795020099105,4509.1481998613435,1.4032932165342533
3,8,10000.0,rpkm,6.0,0.26828795020099105,4509.1481998613435,1.4032932165342533
9,2,100.0,k-means++,None,0.7378140495001783,3900.028349592624,0.35792092172031204
9,2,100.0,mb-kmeans,100.0,0.7346343951124255,4168.946340293851,0.36658550404025725
9,2,100.0,mb-kmeans,500.0,0.7346343951124255,4168.946340293851,0.36658550404025725
9,2,100.0,mb-kmeans,1000.0,0.7346343951124255,4168.946340293851,0.36658550404025725
9,2,100.0,rpkm,1.0,0.6597289720366842,2186.3582989438605,0.48373667834094985
9,2,100.0,rpkm,2.0,0.6845176430130439,2297.0706551098765,0.4749256369587804
9,2,100.0,rpkm,3.0,0.6903003271211785,2333.4738930497892,0.46925592307570413
9,2,100.0,rpkm,4.0,0.6909672954803745,2333.531485064274,0.4610943230837898
9,2,100.0,rpkm,5.0,0.694838693744335,2351.259820305916,0.4557099057720997
9,2,100.0,rpkm,6.0,0.694838693744335,2351.259820305916,0.4557099057720997
9,2,1000.0,k-means++,None,0.7320641710398885,37148.32881347863,0.39612923478607887
9,2,1000.0,mb-kmeans,100.0,0.7297818086276198,40704.04361584376,0.3801220677213386
9,2,1000.0,mb-kmeans,500.0,0.7390873647140201,41004.025551988954,0.36467977246867816
9,2,1000.0,mb-kmeans,1000.0,0.7391020753850938,41008.93408497828,0.36466668210666875
9,2,1000.0,rpkm,1.0,0.6530784524379635,25896.17098889686,0.5496428562720608
9,2,1000.0,rpkm,2.0,0.6807252747142123,28656.55672774869,0.5233308998050876
9,2,1000.0,rpkm,3.0,0.6895600768877673,28955.196578612704,0.5226596480523621
9,2,1000.0,rpkm,4.0,0.693209760941916,29087.226580117676,0.5189421755683801
9,2,1000.0,rpkm,5.0,0.6954808110987014,29165.658817166077,0.5147697689911744
9,2,1000.0,rpkm,6.0,0.6957740261317602,29277.506400996936,0.5087823938135513
9,2,10000.0,k-means++,None,0.7348236245350026,409166.13279183663,0.3741441690574376
9,2,10000.0,mb-kmeans,100.0,0.7335676640929165,370583.9551413125,0.4014102343226232
9,2,10000.0,mb-kmeans,500.0,0.7259484605153925,401781.74986128905,0.40050543119320353
9,2,10000.0,mb-kmeans,1000.0,0.7306491502603147,407562.94433254714,0.3869207007027366
9,2,10000.0,rpkm,1.0,0.6309679034517626,138982.44569192448,0.6086268288024589
9,2,10000.0,rpkm,2.0,0.6366660474227854,140823.4235332452,0.602697157116563
9,2,10000.0,rpkm,3.0,0.653878089998966,144808.82793807687,0.5936591189242206
9,2,10000.0,rpkm,4.0,0.6544723982764862,145654.8722676902,0.6165735993914596
9,2,10000.0,rpkm,5.0,0.655334980648188,146831.42057091178,0.6292770089141719
9,2,10000.0,rpkm,6.0,0.6558954521161171,146969.16141192117,0.6337334120998847
9,4,100.0,k-means++,None,0.5162645868957018,144.0568193147996,0.7260444427925091
9,4,100.0,mb-kmeans,100.0,0.5254280058698569,148.4769472792462,0.7054187277968492
9,4,100.0,mb-kmeans,500.0,0.5254280058698569,148.4769472792462,0.7054187277968492
9,4,100.0,mb-kmeans,1000.0,0.5254280058698569,148.4769472792462,0.7054187277968492
9,4,100.0,rpkm,1.0,0.39238984780292274,74.9604134172281,0.9139176644533886
9,4,100.0,rpkm,2.0,0.42924612427236164,85.43481891344261,0.836377551779572
9,4,100.0,rpkm,3.0,0.43298972597643887,86.00177609255907,0.8321110982197719
9,4,100.0,rpkm,4.0,0.43714935453539205,89.75950314348479,0.8343760996710883
9,4,100.0,rpkm,5.0,0.43714935453539205,89.75950314348479,0.8343760996710883
9,4,100.0,rpkm,6.0,0.43714935453539205,89.75950314348479,0.8343760996710883
9,4,1000.0,k-means++,None,0.5196344866520559,1478.1784098982687,0.7909578394767102
9,4,1000.0,mb-kmeans,100.0,0.5163607548494286,1465.1013346622665,0.7924294931279674
9,4,1000.0,mb-kmeans,500.0,0.50302696945586,1438.5081563761353,0.8419943863929154
9,4,1000.0,mb-kmeans,1000.0,0.5029978929005617,1440.6552481062813,0.8376797534440948
9,4,1000.0,rpkm,1.0,0.37197031566516875,734.4056514212659,1.1574481865716055
9,4,1000.0,rpkm,2.0,0.4426584504539431,929.7806596647524,1.0564578234692015
9,4,1000.0,rpkm,3.0,0.4600360971670482,971.3855990037148,1.0280266223338943
9,4,1000.0,rpkm,4.0,0.47575590519900385,1151.520326572183,1.0109408314420716
9,4,1000.0,rpkm,5.0,0.4764721133398365,1152.3694240034965,1.0049523469846662
9,4,1000.0,rpkm,6.0,0.47645044677977993,1152.3916982338437,1.0046408965625833
9,4,10000.0,k-means++,None,0.5208488735002923,15143.064161645994,0.7670457883100228
9,4,10000.0,mb-kmeans,100.0,0.5110646596634598,14250.863491037042,0.8050056037227715
9,4,10000.0,mb-kmeans,500.0,0.5273424603693527,15190.60158615537,0.7545048197365852
9,4,10000.0,mb-kmeans,1000.0,0.5159957200888622,15086.816869115759,0.7875438277741365
9,4,10000.0,rpkm,1.0,0.3532502287850284,6473.384529940749,1.2418501654819474
9,4,10000.0,rpkm,2.0,0.391690488511529,7297.423945145053,1.1811927504194368
9,4,10000.0,rpkm,3.0,0.40545180150035465,8120.736659053757,1.1957869420434863
9,4,10000.0,rpkm,4.0,0.41298319314806947,8403.949977707916,1.1635228843062966
9,4,10000.0,rpkm,5.0,0.4249738882049695,9552.632966360481,1.1254716776379117
9,4,10000.0,rpkm,6.0,0.42481235849381604,9553.558032780877,1.1247655490955686
9,8,100.0,k-means++,None,0.2928379664399313,32.46604777468093,1.2119475663407215
9,8,100.0,mb-kmeans,100.0,0.2967690885092274,33.21178769274563,1.1790156684681543
9,8,100.0,mb-kmeans,500.0,0.2967690885092274,33.21178769274563,1.1790156684681543
9,8,100.0,mb-kmeans,1000.0,0.2967690885092274,33.21178769274563,1.1790156684681543
